name,faculty,start_time,days,std_enrolled,class_limit,class_code
FINANCIAL INSTITUTIONS AND MARKETS,Tehseen Mazhar Valjee,16:00,MON - WED,45,45,97314
Technology and Process Automat,Dr. Abdul Basit Shaikh,11:30,MON - WED,32,45,96963
MICROECONOMICS,Dr. Zeeshan Atiq,17:30,TUE - THU,49,49,97429
SPEECH COMMUNICATION,Ms Nassera Naushad Ali,16:00,MON - WED,30,25,97490
POLITICAL COMMUNICATION,Dr. Amir Marwan,14:30,MON - WED,12,30,96728
FINANCIAL ACCOUNTING,Annie Ahmad,13:00,MON - WED,48,48,96647
INTRODUCTION TO STATISTICS,Usama Ehsan Khan,08:30,TUE - THU,43,43,97114
STATISTICAL INFERENCE,Dr. Amir Bashir,08:30,TUE - THU,38,40,97113
BUSINESS COMMUNICATION,Fatima Hatim Anjary,11:30,FRI - SAT,51,54,97187
Introduction to DevOps,Khawaja Abdul Hafeez,13:00,SAT,37,41,97139
PRINCIPLES OF MARKETING,KASHIF RASHID,14:30,TUE - THU,34,40,97709
INTRODUCTION TO STATISTICS,Syed Tauqeer Ahmed,13:00,SAT,44,45,97162
Fundamentals of Supply Chain Management,Khusrow Uzair,14:30,SAT,11,40,97714
SOFTWARE ENGINEERING,MUHAMMAD SAMAR JAMIL,08:30,MON - WED,49,49,97498
MICROECONOMICS,Shafia Imtiaz,14:30,TUE - THU,47,49,96798
FINANCIAL INSTITUTIONS AND MARKETS,Dr. Azima Khan,10:00,TUE - THU,31,45,96983
INTRODUCTION TO BUSINESS FINANCE,Noureen Ayaz,11:30,MON - WED,40,42,96681
DIGITAL MARKETING,Sumayyah Khurshid Khan,13:00,TUE - THU,50,50,96959
INTRODUCTION TO PROGRAMMING,Maria Rahim,11:30,TUE - THU,42,42,97141
PRINCIPLES OF MARKETING,NOREEN SALMAN QAYAM,11:30,MON - WED,55,55,97260
BUSINESS INTELLIGENCE,Dr. Tariq Mahmood,11:30,TUE - THU,31,40,97245
MICROECONOMICS,SHAHZAD AHMAD,13:15,SAT,0,40,96773
SOFTWARE ENGINEERING,TBA Teacher To be Allocated,08:30,TUE - THU,19,37,97137
GERMAN LANGUAGE,Ms. Nuzhat Saad,14:30,FRI - SAT,31,32,96875
LINEAR ALGEBRA,Dr. Nasir Touheed,10:00,FRI - SAT,0,30,97601
PRINCIPLES OF MARKETING,KASHIF RASHID,13:00,TUE - THU,41,42,97708
Management & Organizational Behavior,Usman Nazir,11:30,MON - WED,49,49,97299
FINANCIAL MANAGEMENT,Dr. Mohsin Sadaqat,16:00,MON - WED,39,40,97354
INTRODUCTION TO COMPUTER APPLICATIONS,Farhan Ahmed Siddiqui,13:00,TUE - THU,53,45,97107
CALCULUS - I,Umar Shahzad,11:30,TUE - THU,38,40,96803
Introduction to Machine Learning,Dr. Sajjad Haider,08:30,TUE - THU,40,42,97136
INTRODUCTION TO COMPUTER APPLICATIONS,Usman Ali,11:30,TUE - THU,46,45,97106
CALCULUS - I,Azeem Hasan,16:00,TUE - THU,24,40,97012
FINANCIAL INSTITUTIONS AND MARKETS,Dr. Azima Khan,13:00,TUE - THU,27,45,96989
FINANCIAL MODELING,Syed Irfan Ahmed,11:30,TUE - THU,48,45,97371
Computer Security,Dr. S.M. Faisal Iradat,14:30,MON - WED,40,40,97075
PRINCIPLES OF MARKETING,Dr. Nida Aslam Khan,10:00,TUE - THU,38,40,96883
INTRODUCTION TO COMPUTER APPLICATIONS,Ahmed Akhtar,14:30,TUE - THU,52,52,97100
OBJECT ORIENTED PROGRAMMING TECHNIQUES,Mehwish Zafar,10:00,FRI,27,40,97559
STATISTICAL INFERENCE,Zohaib Aziz,16:00,TUE - THU,50,50,97115
FINANCIAL INSTITUTIONS AND MARKETS,Tehseen Mazhar Valjee,10:00,TUE - THU,50,50,96999
STATISTICAL INFERENCE,Dr. Saqib Ur Rehman,12:00,FRI - SAT,37,40,97120
ORGANIZATIONAL BEHAVIOR,Imran Javed Hassan,10:00,TUE - THU,46,48,96903
STATISTICAL INFERENCE,Dr. Muhammad Sheraz,16:00,MON - WED,15,40,96961
FRENCH LANGUAGE - I,LEROY JOHNS,11:30,MON - WED,32,32,96683
BUSINESS LAW,Rahat Aziz,13:00,TUE - THU,47,47,96945
STATISTICAL INFERENCE,Dr. Saqib Ur Rehman,10:45,FRI - SAT,40,41,97119
Islamic Scholarly Tradition,MARIA HAQQANI,13:00,MON - WED,45,45,97348
